54	How Disney Hotstar Captures One Billion Emojis!	4:35	UN1kW5AHid4
55	Top 6 Tools to Turn Code into Beautiful Diagrams	3:24	jCd6XfWLZsg
56	Top 3 Things You Should Know About Webhooks!	3:55	x_jjhcDrISk
57	Caching Pitfalls Every Developer Should Know	6:41	wh98s0XhMmQ
58	Reverse Proxy vs API Gateway vs Load Balancer	3:06	RqfaTIWc3LQ
59	System Design: Why is Kafka so Popular?	4:20	yIAcHMJzqJc
60	ACID Properties in Databases With Examples	4:57	GAe5oB742dw
61	Top 12 Tips For API Security	9:47	6WZ6S-qmtqY
62	Top 9 Must-Read Blogs for Engineers	5:55	UuT61kf292A
63	Top 9 Most Popular API Protocols	3:54	zY2DMpCUfCg
64	Do You Know How Mobile Apps Are Released?	5:00	RIX4ufelA58
65	KISS, SOLID, CAP, BASE: Important Terms You Might Not Know!	6:38	cTyZ_hbmbDw
66	What is Data Pipeline? | Why Is It So Popular?	5:25	kGT4PcTEPP8
67	Kafka vs. RabbitMQ vs. Messaging Middleware vs. Pulsar	4:31	x4k1XEjNzYQ
68	7 Must-know Strategies to Scale Your Database	8:42	_1IKwnbscQU
69	Concurrency Vs Parallelism!	4:13	RlM9AfWf1WU
70	Linux Crash Course - Understanding File Permissions	4:32	4N4Q576i3zA
71	Session Vs JWT: The Differences You May Not Know!	7:00	fyTxwIa-1U0
72	25 Computer Papers You Should Read!	9:11	_kynGl5hr9U
73	Linux Performance Tools!	6:41	iJ_eIsA5E1U
74	How the Internet Works in 9 Minutes	9:15	sMHzfigUxz4
75	HTTP 1 Vs HTTP 2 Vs HTTP 3!	7:37	UMwQjFzTQXw
76	How Search Really Works	9:18	TByRaraQqW4
77	Top Kafka Use Cases You Should Know	5:56	Ajz6dBp_EB4
78	Why is Kubernetes Popular | What is Kubernetes?	9:52	lv0DdVLZuHc
79	Scalability Simply Explained in 10 Minutes	9:20	EWS_CIxttVw
80	Everything You NEED to KNOW About Web Applications	3:03	_higfXfhjdo
81	How SSH Really Works	4:05	rlMfRa7vfO8
82	Big-O Notation in 3 Minutes	3:04	x2CRZaN2xgM
83	API Pagination: Making Billions of Products Scrolling Possible	3:12	14K_a2kKTxU
84	Apache Kafka Fundamentals You Should Know	4:55	-RDyEFvnTXI
85	8 Most Important System Design Concepts You Should Know	6:05	BTjxUS_PylA
86	API Vs SDK! What's the difference?	4:52	GhX8sNyFo5w
87	What is a LOAD BALANCER really about?	6:45	LQuuoHTyYz8
88	System Design: Why Is Docker Important?	4:02	QEzbZKtLi-g
89	How the Garbage Collector Works in Java, Python, and Go!	5:09	3Kqal7QaCCM
90	8 Most Important Tips for Designing Fault-Tolerant System	5:11	3Lis4w4_bBc
91	Top 6 Most Popular API Architecture Styles	1:14	PNRbanEKGtw
92	System Design Was HARD - Until You Knew the Trade-Offs	5:09	1nENigGr-a0
93	System Design Was HARD - Until You Knew the Trade-Offs, Part 2	6:12	2g1G8Jr88xU
94	APIs Explained in 6 Minutes!	6:41	hltLrjabkiY
95	Trillions of Web Pages: Where Does Google Store Them?	8:36	nBvDtj-p6VM
96	7 System Design Concepts Explained in 10 Minutes	10:44	Qd9tJ3H_hPE
97	20 System Design Concepts You Must Know - Final Part	9:25	uq-JpclPQV4
98	System Design Interview – BIGGEST Mistakes to Avoid	6:48	OvufRkoD-D0
99	System Design: Why is Kafka Popular?	7:41	7_wkWQ9rB5I
100	What Is Redis Really About? Why Is It So Popular?	9:01	z_NbVtbgBJw
101	What is a Data Lakehouse?	6:59	taSmwcqdkQk
102	HTTP vs HTTPS Explained	7:11	WvSVSbGo0wI
103	How the JVM Actually Works	6:43	bF28LFPjFsI
